Packet_UID,Generation_Time,Reception_Time,End_To_End_Delay,SW1_Arrival,SW1_Departure,SW2_Arrival,SW2_Departure,Diff_EntrySW1_ExitSW2,Stay_Time_SW1,Stay_Time_SW2,Inter_Departure
185,0.00156,0.00168561,0.000125615,0.00156409,0.00163055,0.00163464,0.00168153,0.000117437,6.6459e-05,4.6889e-05,1.04e-05
186,0.00157,0.00169601,0.000126015,0.00157409,0.00164095,0.00164504,0.00169193,0.000117837,6.6859e-05,4.6889e-05,1.04e-05
187,0.00158,0.00170641,0.000126415,0.00158409,0.00165135,0.00165544,0.00170233,0.000118237,6.7259e-05,4.6889e-05,1.04e-05
188,0.00159,0.00171682,0.000126815,0.00159409,0.00166175,0.00166584,0.00171273,0.000118637,6.7659e-05,4.6889e-05,1.04e-05
189,0.0016,0.00172722,0.000127215,0.00160409,0.00167215,0.00167624,0.00172313,0.000119037,6.8059e-05,4.6889e-05,1.04e-05
190,0.00161,0.00173762,0.000127615,0.00161409,0.00168255,0.00168664,0.00173353,0.000119437,6.8459e-05,4.6889e-05,1.04e-05
191,0.00162,0.00174801,0.000128015,0.00162409,0.00169295,0.00169704,0.00174393,0.000119837,6.8859e-05,4.6889e-05,1.04e-05
192,0.00163,0.00175841,0.000128415,0.00163409,0.00170335,0.00170744,0.00175433,0.000120237,6.9259e-05,4.6889e-05,1.04e-05
193,0.00164,0.00176881,0.000128815,0.00164409,0.00171375,0.00171784,0.00176473,0.000120637,6.9659e-05,4.6889e-05,1.04e-05
194,0.00165,0.00177922,0.000129215,0.00165409,0.00172415,0.00172824,0.00177513,0.000121037,7.0059e-05,4.6889e-05,1.04e-05
195,0.00166,0.00178962,0.000129615,0.00166409,0.00173455,0.00173864,0.00178553,0.000121437,7.0459e-05,4.6889e-05,1.04e-05
196,0.00167,0.00180001,0.000130015,0.00167409,0.00174495,0.00174904,0.00179593,0.000121837,7.0859e-05,4.6889e-05,1.04e-05
197,0.00168,0.00181041,0.000130415,0.00168409,0.00175535,0.00175944,0.00180633,0.000122237,7.1259e-05,4.6889e-05,1.04e-05
198,0.00169,0.00182081,0.000130815,0.00169409,0.00176575,0.00176984,0.00181673,0.000122637,7.1659e-05,4.6889e-05,1.04e-05
199,0.0017,0.00183121,0.000131215,0.00170409,0.00177615,0.00178024,0.00182713,0.000123037,7.2059e-05,4.6889e-05,1.04e-05
200,0.00171,0.00184162,0.000131615,0.00171409,0.00178655,0.00179064,0.00183753,0.000123437,7.2459e-05,4.6889e-05,1.04e-05
201,0.00172,0.00185202,0.000132015,0.00172409,0.00179695,0.00180104,0.00184793,0.000123837,7.2859e-05,4.6889e-05,1.04e-05
203,0.00173,0.00186242,0.000132415,0.00173409,0.00180735,0.00181144,0.00185833,0.000124237,7.3259e-05,4.6889e-05,1.04e-05
205,0.00174,0.00187281,0.000132815,0.00174409,0.00181775,0.00182184,0.00186873,0.000124637,7.3659e-05,4.6889e-05,1.04e-05
206,0.00175,0.00188321,0.000133215,0.00175409,0.00182815,0.00183224,0.00187913,0.000125037,7.4059e-05,4.6889e-05,1.04e-05
207,0.00176,0.00189361,0.000133615,0.00176409,0.00183855,0.00184264,0.00188953,0.000125437,7.4459e-05,4.6889e-05,1.04e-05
208,0.00177,0.00190402,0.000134015,0.00177409,0.00184895,0.00185304,0.00189993,0.000125837,7.4859e-05,4.6889e-05,1.04e-05
209,0.00178,0.00191442,0.000134415,0.00178409,0.00186048,0.00186457,0.00191033,0.000126237,7.6391e-05,4.5757e-05,1.04e-05
210,0.00179,0.00192481,0.000134815,0.00179409,0.00186975,0.00187384,0.00192073,0.000126637,7.5659e-05,4.6889e-05,1.04e-05
211,0.0018,0.00193521,0.000135215,0.00180409,0.00188015,0.00188424,0.00193113,0.000127037,7.6059e-05,4.6889e-05,1.04e-05
